1,65600,8396808,1049600
2,32800,4198404,524288
3,16400,2099202,0
4,8200,1049600,0
5,4100,524288,0
6,2050,0,0
7,1024,0,0
8,0,0,0
9,0,0,0
10,128,16793616,2099200
11,64,8396808,1049600
12,32,4198404,524288
13,16,2099202,0
14,8,1049600,0
15,4,524288,0
16,2,0,0
17,0,0,0
18,0,0,0
19,0,33587232,4198400
20,0,16793616,2099200
21,65536,8396808,1049600
22,32768,4198404,524288
23,16384,2099202,0
24,8192,1049600,0
25,4096,524288,0
26,2048,0,0
27,1024,0,0
28,0,65600,8396800
29,0,32800,4198400
30,128,16400,2099200
31,65600,8200,1049600
32,32800,4100,524288
33,16400,2050,0
34,8200,1024,0
35,4100,0,0
36,2050,0,0
37,0,128,16793600
38,0,64,8396800
39,0,33554464,4198400
40,128,16777232,2099200
41,65600,8388616,1049600
42,32800,4194308,524288
43,16400,2097154,0
44,8200,1048576,0
45,4100,524288,0
46,0,0,33587200
47,0,0,16793600
48,0,65536,8396800
49,0,33587200,4198400
50,128,16793600,2099200
51,65600,8396800,1049600
52,32800,4198400,524288
53,16400,2099200,0
54,8200,1049600,0
55,0,0,65536
56,0,0,32768
57,0,128,16384
58,0,65600,8192
59,0,33587232,4096
60,128,16793616,2048
61,65600,8396808,1024
62,32800,4198404,0
63,16400,2099202,0
64,0,0,0
65,0,0,0
66,0,0,33554432
67,0,128,16777216
68,0,65600,8388608
69,0,33587232,4194304
70,128,16793616,2097152
71,65600,8396808,1048576
72,32800,4198404,524288
73,0,0,0
74,0,0,0
75,0,0,65536
76,0,0,33587200
77,0,128,16793600
78,0,65600,8396800
79,0,33587232,4198400
80,128,16793616,2099200
81,65600,8396808,1049600
