1,66715904,67240192,67239936
2,33095808,33620096,33619968
3,49840192,16810048,16809984
4,58212384,8405024,8404992
5,62398480,4202512,4202496
6,64491528,2101256,2101248
7,65538052,1050628,1050624
8,66061314,525314,525312
9,66585089,262657,262656
10,130304,67240192,67239936
11,64640,33620096,33619968
12,97344,16810048,16809984
13,113696,8405024,8404992
14,121872,4202512,4202496
15,125960,2101256,2101248
16,128004,1050628,1050624
17,129026,525314,525312
18,130049,262657,262656
19,131326,67240192,67239936
20,65662,33620096,33619968
21,32958,16810048,16809984
22,16606,8405024,8404992
23,8430,4202512,4202496
24,4342,2101256,2101248
25,2298,1050628,1050624
26,1276,525314,525312
27,766,262657,262656
28,131328,66715904,67239936
29,65664,33095808,33619968
30,32832,49840192,16809984
31,16416,58212384,8404992
32,8208,62398480,4202496
33,4104,64491528,2101248
34,2052,65538052,1050624
35,1026,66061314,525312
36,513,66585089,262656
37,131328,67239168,67239936
38,65664,33619072,33619968
39,32832,16874560,16809984
40,16416,8502304,8404992
41,8208,4316176,4202496
42,4104,2223112,2101248
43,2052,1176580,1050624
44,1026,653314,525312
45,513,392193,262656
46,131328,67240190,67239936
47,65664,33620094,33619968
48,32832,16810174,16809984
49,16416,8405214,8404992
50,8208,4202734,4202496
51,4104,2101494,2101248
52,2052,1050874,1050624
53,1026,525564,525312
54,513,262910,262656
55,131328,67240192,66715648
56,65664,33620096,33095680
57,32832,16810048,49840128
58,16416,8405024,58212352
59,8208,4202512,62398464
60,4104,2101256,64491520
61,2052,1050628,65538048
62,1026,525314,66061312
63,513,262657,66585088
64,131328,67240192,67238912
65,65664,33620096,33618944
66,32832,16810048,16874496
67,16416,8405024,8502272
68,8208,4202512,4316160
69,4104,2101256,2223104
70,2052,1050628,1176576
71,1026,525314,653312
72,513,262657,392192
73,131328,67240192,67240190
74,65664,33620096,33620094
75,32832,16810048,16810174
76,16416,8405024,8405214
77,8208,4202512,4202734
78,4104,2101256,2101494
79,2052,1050628,1050874
80,1026,525314,525564
81,513,262657,262910
